City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,kotlas,61.2611,46.6556,7.25,78,100,3.58,RU,1713914540
302,paracuru,-3.41,-39.0306,25.8,88,97,2.82,BR,1713914297
303,shenjiamen,29.9576,122.298,14.84,87,93,4.18,CN,1713914541
304,jabat,7.75,168.9751,27.71,85,100,9.97,MH,1713914541
305,ouarzazat,30.9189,-6.8934,21.16,23,20,3.09,MA,1713914542
306,tabora,-5.0167,32.8,18.31,97,99,2.52,TZ,1713914542
307,antsiranana,-12.2787,49.2917,25.73,81,74,6.26,MG,1713914543
308,mushie,-3.0167,16.9,23.32,96,100,1.49,CD,1713914308
309,rajapur,25.3833,81.15,28.98,21,3,1.96,IN,1713914544
310,el porvenir,13.7617,-87.3458,32.79,30,100,3.06,HN,1713914544
311,kulhudhuffushi,6.6221,73.07,29.13,74,59,2.98,MV,1713914545
312,aguilas,37.4063,-1.5829,14.51,68,3,2.87,ES,1713914545
313,kavaratti,10.5669,72.642,29.61,67,78,2.78,IN,1713914545
314,kamaishi,39.2667,141.8833,9.41,88,100,2.5,JP,1713914545
315,tisul',55.7611,88.3122,-8.31,77,96,1.97,RU,1713914546
316,sour el ghozlane,36.1477,3.6912,5.12,89,12,1.83,DZ,1713914546
317,el fuerte,26.4189,-108.6194,35.99,13,7,7.98,MX,1713914546
318,lihue,21.9789,-159.3672,27.58,70,40,8.23,US,1713914195
319,parauapebas,-6.0675,-49.9022,25.99,94,0,0.0,BR,1713914547
320,cill airne,52.05,-9.5167,8.44,94,85,1.57,IE,1713914547
321,zelenoborskiy,66.845,32.3622,0.5,99,100,3.62,RU,1713914548
322,visby,57.6409,18.296,0.12,93,87,4.12,SE,1713914549
323,kargasok,59.0556,80.8572,-10.02,91,66,4.47,RU,1713914549
324,saldanha,-33.0117,17.9442,15.03,95,100,2.93,ZA,1713914033
325,lincoln city,44.9582,-124.0179,18.66,80,71,8.94,US,1713914550
326,pontianak,-0.0333,109.3333,23.99,100,40,1.03,ID,1713914432
327,bubaque,11.2833,-15.8333,25.29,73,40,9.0,GW,1713914179
328,horsham,51.064,-0.3272,7.47,71,0,2.06,GB,1713914551
329,san patricio,28.017,-97.5169,25.97,74,100,5.76,US,1713914164
330,yarmouth,41.7057,-70.2286,8.94,61,0,2.57,US,1713914551
331,truckee,39.328,-120.1833,17.34,74,75,2.06,US,1713914551
332,souillac,-20.5167,57.5167,25.21,100,75,2.06,MU,1713914170
333,birjand,32.8663,59.2211,12.26,87,75,3.09,IR,1713914552
334,selfoss,63.9331,-20.9971,6.69,87,58,0.56,IS,1713914552
335,moose jaw,50.4001,-105.5344,20.14,11,40,3.09,CA,1713914552
336,roswell,34.0232,-84.3616,22.55,40,0,4.63,US,1713914552
337,belmonte,-15.8631,-38.8828,25.72,85,99,2.02,BR,1713914150
338,koesan,36.8108,127.7947,10.55,95,100,2.19,KR,1713914535
339,portland,45.5234,-122.6762,24.99,25,40,2.57,US,1713914267
340,neiafu,-18.65,-173.9833,30.38,84,40,3.6,TO,1713914555
341,luganville,-15.5333,167.1667,30.02,74,12,2.02,VU,1713914556
342,mingshui,36.7167,117.5,14.42,36,0,1.98,CN,1713914557
343,kobryn,52.2138,24.3564,5.17,75,100,3.31,BY,1713914557
344,wainwright,52.839,-110.8572,17.09,24,56,2.64,CA,1713914557
345,dumai,1.6833,101.45,24.37,97,100,1.05,ID,1713914558
346,charters towers,-20.1,146.2667,22.81,62,69,4.55,AU,1713914127
347,nouadhibou,20.931,-17.0347,18.99,77,49,6.17,MR,1713914419
348,egilsstadir,65.2653,-14.3948,-0.05,93,0,1.03,IS,1713914303
349,chui,-33.6971,-53.4616,16.97,91,18,4.02,UY,1713914187
350,vuktyl,63.8567,57.3094,-2.72,75,6,3.58,RU,1713914559
351,kuta,-8.7233,115.1723,26.97,100,75,3.6,ID,1713914559
352,formosa do rio preto,-11.0483,-45.1931,25.85,69,58,0.41,BR,1713914560
353,carnarvon,-24.8667,113.6333,24.33,41,31,7.55,AU,1713914188
354,mount isa,-20.7333,139.5,23.87,64,0,3.6,AU,1713914280
355,grand falls-windsor,48.9332,-55.6649,3.21,65,5,2.37,CA,1713914560
356,boca do acre,-8.7522,-67.3978,24.93,96,46,0.48,BR,1713914561
357,severo-yeniseyskiy,60.3725,93.0408,-2.46,91,100,3.58,RU,1713914189
358,fort st. john,56.2499,-120.8529,14.94,21,75,1.54,CA,1713914254
359,melekeok village,7.4957,134.6367,28.31,89,75,0.0,PW,1713914561
360,kongolo,-5.3833,27.0,22.0,96,93,0.54,CD,1713914309
361,amalapuram,16.5833,82.0167,25.12,94,2,0.81,IN,1713914562
362,wattegama,6.7989,81.4808,25.13,94,60,0.78,LK,1713914562
